Wavelength (nm),2C_GQ_n,2C_GQ_k
300,1.41,0.95392
301,1.41556,0.94854
302,1.42,0.94322
303,1.42,0.93817
304,1.42,0.93364
305,1.42,0.92961
306,1.42,0.92604
307,1.42,0.92267
308,1.42,0.92041
309,1.42,0.91836
310,1.42,0.9171
311,1.42,0.91626
312,1.42,0.91602
313,1.41611,0.91654
314,1.41056,0.91739
315,1.41,0.91919
316,1.41,0.92121
317,1.41,0.92433
318,1.40778,0.92778
319,1.40222,0.93174
320,1.4,0.93643
321,1.4,0.9416
322,1.4,0.94729
323,1.4,0.95311
324,1.4,0.95963
325,1.4,0.96648
326,1.4,0.97409
327,1.40333,0.98177
328,1.40889,0.9895
329,1.41,0.99798
330,1.41056,1.00662
331,1.41611,1.01512
332,1.42167,1.02369
333,1.42722,1.0324
334,1.43,1.04142
335,1.43,1.05075
336,1.43889,1.05967
337,1.45,1.06849
338,1.45588,1.07773
339,1.46167,1.08676
340,1.46722,1.09531
341,1.47556,1.10373
342,1.48667,1.11202
343,1.49412,1.12042
344,1.5,1.12886
345,1.51111,1.13646
346,1.52222,1.14397
347,1.53333,1.15115
348,1.54471,1.15829
349,1.55647,1.16539
350,1.56778,1.17187
351,1.57889,1.17808
352,1.59059,1.18412
353,1.60222,1.18996
354,1.61333,1.1951
355,1.62444,1.20001
356,1.63556,1.20459
357,1.65059,1.20896
358,1.66824,1.21321
359,1.68,1.21672
360,1.69118,1.2201
361,1.70294,1.22311
362,1.71667,1.22583
363,1.73333,1.22809
364,1.74667,1.23001
365,1.75778,1.23169
366,1.76941,1.23297
367,1.78167,1.23407
368,1.79833,1.23461
369,1.81333,1.23498
370,1.82444,1.23495
371,1.83882,1.23463
372,1.85647,1.23402
373,1.86889,1.233
374,1.88,1.23188
375,1.89176,1.23013
376,1.905,1.22826
377,1.92167,1.22609
378,1.93556,1.22366
379,1.94667,1.22098
380,1.95824,1.21783
381,1.97,1.21447
382,1.98111,1.21083
383,1.99353,1.20704
384,2.01118,1.20269
385,2.02556,1.19825
386,2.03667,1.1937
387,2.04778,1.18886
388,2.05889,1.1839
389,2.07059,1.17828
390,2.08222,1.17258
391,2.09333,1.16682
392,2.10471,1.16078
393,2.11647,1.1543
394,2.12778,1.14784
395,2.13889,1.14139
396,2.15,1.13464
397,2.16059,1.1278
398,2.16647,1.12033
399,2.17444,1.11291
400,2.18556,1.10558
401,2.19333,1.09811
402,2.19889,1.09054
403,2.20941,1.08244
404,2.22056,1.07423
405,2.22611,1.06627
406,2.23353,1.05811
407,2.24529,1.04952
408,2.25333,1.04113
409,2.25889,1.03288
410,2.26444,1.02456
411,2.27,1.01622
412,2.27588,1.00731
413,2.28167,0.99854
414,2.28722,0.99009
415,2.29294,0.98139
416,2.29882,0.97243
417,2.30444,0.96389
418,2.31,0.95546
419,2.31556,0.94708
420,2.32,0.93861
421,2.32,0.92982
422,2.32278,0.92134
423,2.32833,0.91315
424,2.33412,0.90472
425,2.34,0.8962
426,2.34,0.88832
427,2.34,0.88048
428,2.34,0.87279
429,2.34235,0.86502
430,2.34824,0.85711
431,2.35,0.84969
432,2.35,0.84247
433,2.35,0.8355
434,2.35,0.82855
435,2.35,0.8215
436,2.35,0.81473
437,2.35,0.8084
438,2.35,0.80204
439,2.35,0.79569
440,2.35,0.78996
441,2.35,0.78434
442,2.35,0.77905
443,2.35,0.77379
444,2.35,0.76858
445,2.35,0.76379
446,2.35,0.75926
447,2.35,0.75485
448,2.35,0.75054
449,2.35,0.7468
450,2.35,0.74317
451,2.35,0.73982
452,2.35,0.73659
453,2.35,0.73346
454,2.35,0.73077
455,2.35,0.72819
456,2.35,0.72598
457,2.35,0.72382
458,2.35,0.72185
459,2.35,0.7201
460,2.35,0.71857
461,2.35,0.7172
462,2.35,0.7159
463,2.35,0.71496
464,2.35,0.71406
465,2.35,0.71335
466,2.35,0.71272
467,2.35,0.7122
468,2.35,0.71182
469,2.35,0.7115
470,2.35529,0.7113
471,2.36,0.71112
472,2.36,0.71103
473,2.36,0.71097
474,2.36,0.71094
475,2.36353,0.71092
476,2.36941,0.7109
477,2.37,0.71087
478,2.37059,0.71083
479,2.37647,0.71072
480,2.38222,0.71058
481,2.38778,0.71039
482,2.39,0.71011
483,2.39,0.70979
484,2.39471,0.70931
485,2.40056,0.70878
486,2.40611,0.7081
487,2.41167,0.70736
488,2.41722,0.70647
489,2.42,0.70542
490,2.42,0.70421
491,2.42444,0.70285
492,2.43,0.70146
493,2.43588,0.6997
494,2.44167,0.69787
495,2.44722,0.69591
496,2.45278,0.6938
497,2.45833,0.69154
498,2.46412,0.68896
499,2.47,0.68624
500,2.47556,0.68336
501,2.48118,0.68038
502,2.48706,0.67699
503,2.49278,0.67355
504,2.49833,0.67004
505,2.50389,0.66632
506,2.50944,0.6625
507,2.51529,0.65819
508,2.52111,0.65382
509,2.52667,0.6494
510,2.53222,0.64487
511,2.53778,0.64017
512,2.54,0.63513
513,2.54,0.62988
514,2.545,0.62465
515,2.55059,0.61937
516,2.55647,0.6136
517,2.56222,0.60786
518,2.56778,0.6022
519,2.57,0.59641
520,2.57,0.59055
521,2.57471,0.58427
522,2.58056,0.57791
523,2.58611,0.57174
524,2.59,0.56542
525,2.59,0.55876
526,2.59333,0.55227
527,2.59889,0.5459
528,2.6,0.53946
529,2.6,0.53302
530,2.6,0.52616
531,2.60167,0.5194
532,2.60722,0.51291
