Wavelength (nm),BCP_n,BCP_k
350,2.35116,0.000888575
351,2.34377,0.000876776
352,2.33639,0.000864976
353,2.329,0.000853177
354,2.32161,0.000841378
355,2.31422,0.000829578
356,2.31039,0.000817779
357,2.3067,0.000709224
358,2.303,0.000312764
359,2.29931,0
360,2.29561,0
361,2.29192,0
362,2.28737,0
363,2.2824,0
364,2.27742,0
365,2.27245,0
366,2.26748,0
367,2.2625,0
368,2.25582,0
369,2.24877,0
370,2.24171,0
371,2.23466,0
372,2.22761,0
373,2.22334,0
374,2.21946,0
375,2.21558,0
376,2.2117,0
377,2.20754,0
378,2.20292,0
379,2.19831,0
380,2.19369,0
381,2.18907,0
382,2.18445,0
383,2.18001,0
384,2.17742,0
385,2.17484,0
386,2.17225,0
387,2.16967,0
388,2.16708,0
389,2.16449,0
390,2.16109,0
391,2.15612,0
392,2.15114,0
393,2.14617,0
394,2.1412,0
395,2.13623,0
396,2.13259,0
397,2.13031,0
398,2.12802,0
399,2.12574,0
400,2.12346,0
401,2.12118,0
402,2.1189,0
403,2.11662,0
404,2.11334,0
405,2.10989,0
406,2.10644,0
407,2.103,0
408,2.09955,0
409,2.0961,0
410,2.09272,0
411,2.08995,0
412,2.08718,0
413,2.08441,0
414,2.08164,0
415,2.07887,0
416,2.0761,0
417,2.07295,0
418,2.06972,0
419,2.06649,0
420,2.06326,0
421,2.06002,0
422,2.05679,0
423,2.05356,0
424,2.05091,0
425,2.04863,0
426,2.04635,0
427,2.04407,0
428,2.04179,0
429,2.0395,0
430,2.03722,0
431,2.03494,0
432,2.03308,0
433,2.03124,0
434,2.02939,0
435,2.02754,0
436,2.02569,0
437,2.02385,0
438,2.022,0
439,2.02015,0
440,2.01831,0
441,2.01646,0
442,2.01461,0
443,2.01276,0
444,2.01092,0
445,2.00907,0
446,2.00722,0
447,2.0054,0
448,2.00368,0
449,2.00196,0
450,2.00023,0
451,1.99851,0
452,1.99678,0
453,1.99506,0
454,1.99297,0
455,1.99051,0
456,1.98805,0
457,1.98558,0
458,1.98312,0
459,1.98066,0
460,1.97819,0
461,1.97573,0
462,1.97327,0
463,1.97087,0
464,1.96957,0
465,1.96828,0
466,1.96699,0
467,1.96569,0
468,1.9644,0
469,1.96311,0
470,1.96181,0
471,1.96052,0
472,1.95917,0
473,1.95689,0
474,1.95461,0
475,1.95233,0
476,1.95004,0
477,1.94776,0
478,1.94548,0
479,1.9432,0
480,1.94156,0
481,1.94084,0
482,1.94013,0
483,1.93941,0
484,1.93869,0
485,1.93797,0
486,1.93725,0
487,1.93653,0
488,1.93556,0
489,1.93404,0
490,1.93252,0
491,1.931,0
492,1.92947,0
493,1.92795,0
494,1.92643,0
495,1.92491,0
496,1.92339,0
497,1.92187,0
498,1.92035,0
499,1.91883,0
500,1.91731,0
501,1.91578,0
502,1.91426,0
503,1.91274,0
504,1.91112,0
505,1.90951,0
506,1.90789,0
507,1.90627,0
508,1.90466,0
509,1.90304,0
510,1.90142,0
511,1.89989,0
512,1.89837,0
513,1.89685,0
514,1.89532,0
515,1.8938,0
516,1.89228,0
517,1.89076,0
518,1.88928,0
519,1.88799,0
520,1.8867,0
521,1.8854,0
522,1.88411,0
523,1.88282,0
524,1.88153,0
525,1.88023,0
526,1.87894,0
527,1.87776,0
528,1.87704,0
529,1.87633,0
530,1.87561,0
531,1.87489,0
532,1.87417,0
533,1.87345,0
534,1.87273,0
535,1.87193,0
536,1.87041,0
537,1.86889,0
538,1.86737,0
539,1.86584,0
540,1.86432,0
541,1.8628,0
542,1.86128,0
543,1.86011,0
544,1.85935,0
545,1.85859,0
546,1.85783,0
547,1.85707,0
548,1.85631,0
549,1.85555,0
550,1.85479,0
551,1.85409,0
552,1.85341,0
553,1.85273,0
554,1.85205,0
555,1.85137,0
556,1.85069,0
557,1.85001,0
558,1.84933,0
559,1.84858,0
560,1.84766,0
561,1.84673,0
562,1.84581,0
563,1.84489,0
564,1.84396,0
565,1.84304,0
566,1.84232,0
567,1.8416,0
568,1.84088,0
569,1.84016,0
570,1.83944,0
571,1.83873,0
572,1.83801,0
573,1.83729,0
574,1.83586,0
575,1.83434,0
576,1.83282,0
577,1.83129,0
578,1.82977,0
579,1.82825,0
580,1.82673,0
581,1.82519,0
582,1.82357,0
583,1.82195,0
584,1.82034,0
585,1.81872,0
586,1.8171,0
587,1.81549,0
588,1.81391,0
589,1.81305,0
590,1.81219,0
591,1.81132,0
592,1.81046,0
593,1.8096,0
594,1.80874,0
595,1.80788,0
596,1.80701,0
597,1.80615,0
598,1.80529,0
599,1.80443,0
600,1.80357,0
601,1.8027,0
602,1.80184,0
603,1.80098,0
604,1.80012,0
605,1.79926,0
606,1.79839,0
607,1.79753,0
608,1.79667,0
609,1.79596,0
610,1.79528,0
611,1.79459,0
612,1.79391,0
613,1.79323,0
614,1.79255,0
615,1.79187,0
616,1.79119,0
617,1.79049,0
618,1.78973,0
619,1.78897,0
620,1.78821,0
621,1.78745,0
622,1.78669,0
623,1.78593,0
624,1.78517,0
625,1.7843,0
626,1.78338,0
627,1.78246,0
628,1.78153,0
629,1.78061,0
630,1.77968,0
631,1.77907,0
632,1.77907,0
633,1.77907,0
634,1.77907,0
635,1.77907,0
636,1.77907,0
637,1.77907,0
638,1.77897,0
639,1.77829,0
640,1.77761,0
641,1.77693,0
642,1.77625,0
643,1.77557,0
644,1.77489,0
645,1.77421,0
646,1.77353,0
647,1.77235,0
648,1.77083,0
