Wavelength (nm),C60_n,C60_k
350,3.38837,0.5531
351,3.4013,0.54155
352,3.41423,0.53
353,3.43358,0.51298
354,3.45621,0.49986
355,3.46568,0.48649
356,3.47307,0.46963
357,3.48046,0.46082
358,3.4852,0.45099
359,3.4889,0.43687
360,3.49259,0.42307
361,3.49419,0.40949
362,3.49419,0.3999
363,3.49419,0.38096
364,3.49419,0.37056
365,3.4925,0.3593
366,3.48927,0.3496
367,3.48603,0.33876
368,3.4828,0.33045
369,3.47744,0.323
370,3.47189,0.31145
371,3.46635,0.30455
372,3.45708,0.29644
373,3.44673,0.2872
374,3.43639,0.27851
375,3.42605,0.2708
376,3.41498,0.25828
377,3.40205,0.25186
378,3.38912,0.24544
379,3.3755,0.23821
380,3.3574,0.23121
381,3.33929,0.22639
382,3.32577,0.22196
383,3.31284,0.2181
384,3.29991,0.21511
385,3.28574,0.21279
386,3.2685,0.21047
387,3.25126,0.20815
388,3.23547,0.20583
389,3.22069,0.20327
390,3.20591,0.20069
391,3.18738,0.19838
392,3.1641,0.19708
393,3.14233,0.19579
394,3.12682,0.19506
395,3.1113,0.19505
396,3.10027,0.19504
397,3.0895,0.19502
398,3.07819,0.19501
399,3.06526,0.195
400,3.05233,0.19499
401,3.04117,0.19498
402,3.03148,0.19497
403,3.02178,0.19544
404,3.01208,0.19613
405,2.9993,0.19682
406,2.98637,0.19751
407,2.97427,0.19819
408,2.96457,0.19898
409,2.95487,0.19982
410,2.94517,0.20067
411,2.93578,0.20151
412,2.92654,0.20256
413,2.91731,0.20383
414,2.90902,0.2051
415,2.90163,0.20638
416,2.89424,0.2077
417,2.88618,0.20913
418,2.87694,0.21056
419,2.86771,0.21199
420,2.85977,0.21343
421,2.85653,0.21486
422,2.8533,0.21629
423,2.85007,0.21772
424,2.84784,0.21984
425,2.84622,0.22196
426,2.8446,0.22409
427,2.84299,0.22621
428,2.84156,0.22761
429,2.84012,0.22888
430,2.83868,0.23015
431,2.83725,0.23142
432,2.83721,0.23315
433,2.83721,0.23506
434,2.83721,0.23697
435,2.83775,0.23885
436,2.83919,0.2398
437,2.84063,0.24075
438,2.84206,0.2417
439,2.84341,0.24259
440,2.84459,0.24334
441,2.84576,0.2441
442,2.84694,0.24486
443,2.84811,0.24562
444,2.84974,0.24606
445,2.85209,0.2464
446,2.85444,0.24673
447,2.85679,0.24707
448,2.85915,0.24741
449,2.86253,0.24751
450,2.86723,0.2475
451,2.87193,0.24748
