Wavelength (nm),CuNiOx_n,CuNiOx_k
200,1.38345,0.43859
201,1.37693,0.43845
202,1.3704,0.4383
203,1.36633,0.43732
204,1.36392,0.43579
205,1.36322,0.43365
206,1.3629,0.43139
207,1.36307,0.42895
208,1.36361,0.42639
209,1.36429,0.42379
210,1.36513,0.42115
211,1.36605,0.41851
212,1.367,0.41586
213,1.36799,0.41324
214,1.36898,0.41065
215,1.36997,0.40808
216,1.37093,0.40558
217,1.37188,0.40312
218,1.3728,0.40071
219,1.37369,0.39837
220,1.37456,0.39607
221,1.37539,0.39385
222,1.37619,0.3917
223,1.37697,0.3896
224,1.37771,0.3876
225,1.37843,0.38565
226,1.37913,0.38376
227,1.3798,0.38198
228,1.38046,0.38024
229,1.3811,0.37858
230,1.38173,0.37701
231,1.38235,0.37549
232,1.38297,0.37406
233,1.38358,0.3727
234,1.38419,0.37139
235,1.38481,0.37019
236,1.38543,0.36904
237,1.38606,0.36794
238,1.3867,0.36694
239,1.38736,0.36598
240,1.38804,0.36509
241,1.38875,0.36427
242,1.38947,0.36349
243,1.39023,0.36279
244,1.39102,0.36214
245,1.39184,0.36152
246,1.39271,0.36098
247,1.3936,0.36047
248,1.39454,0.36
249,1.39554,0.35958
250,1.39656,0.35918
251,1.39765,0.35883
252,1.39879,0.3585
253,1.39996,0.35819
254,1.40121,0.35792
255,1.4025,0.35765
256,1.40384,0.3574
257,1.40526,0.35715
258,1.40671,0.35691
259,1.40823,0.35667
260,1.40982,0.35643
261,1.41144,0.35618
262,1.41313,0.35591
263,1.41488,0.35563
264,1.41666,0.35533
265,1.41852,0.35499
266,1.42041,0.35463
267,1.42235,0.35425
268,1.42435,0.35381
269,1.42638,0.35334
270,1.42845,0.35283
271,1.43056,0.35226
272,1.4327,0.35166
273,1.43488,0.35099
274,1.43708,0.35027
275,1.43929,0.3495
276,1.44154,0.34865
277,1.44379,0.34777
278,1.44606,0.34681
279,1.44833,0.34578
280,1.4506,0.34472
281,1.45287,0.34356
282,1.45514,0.34235
283,1.4574,0.3411
284,1.45964,0.33975
285,1.46187,0.33836
286,1.46407,0.33692
287,1.46625,0.3354
288,1.46841,0.33384
289,1.47053,0.33221
290,1.47261,0.33053
291,1.47467,0.32882
292,1.47667,0.32703
293,1.47864,0.32521
294,1.48057,0.32335
295,1.48244,0.32144
296,1.48428,0.3195
297,1.48606,0.31752
298,1.48779,0.3155
299,1.48948,0.31347
300,1.4911,0.31139
301,1.49267,0.3093
302,1.49421,0.30718
303,1.49566,0.30504
304,1.49708,0.30289
305,1.49844,0.30073
306,1.49973,0.29855
307,1.50099,0.29637
308,1.50219,0.29417
309,1.50333,0.29197
310,1.50443,0.28977
311,1.50546,0.28757
312,1.50645,0.28538
313,1.5074,0.28318
314,1.50828,0.281
315,1.50913,0.27881
316,1.50992,0.27664
317,1.51067,0.27448
318,1.51138,0.27233
319,1.51204,0.27019
320,1.51266,0.26806
321,1.51325,0.26595
322,1.51378,0.26386
323,1.51428,0.26179
324,1.51475,0.25973
325,1.51517,0.25769
326,1.51557,0.25566
327,1.51593,0.25367
328,1.51625,0.25169
329,1.51656,0.24972
330,1.51682,0.24779
331,1.51706,0.24587
332,1.51727,0.24397
333,1.51745,0.24211
334,1.51761,0.24025
335,1.51774,0.23843
336,1.51785,0.23663
337,1.51794,0.23484
338,1.518,0.23308
339,1.51805,0.23135
340,1.51808,0.22963
341,1.51808,0.22795
342,1.51807,0.22628
343,1.51804,0.22463
344,1.51799,0.22301
