Wavelength (nm),CuNiOxPTAA_n,CuNiOxPTAA_k
300,1.66286,0.51681
301,1.67083,0.51383
302,1.67862,0.51067
303,1.68604,0.50718
304,1.69328,0.50356
305,1.70026,0.49974
306,1.70691,0.49572
307,1.71339,0.4916
308,1.71953,0.48729
309,1.72541,0.48287
310,1.73111,0.47838
311,1.7364,0.47374
312,1.74151,0.46905
313,1.74639,0.4643
314,1.75092,0.45948
315,1.75527,0.45464
316,1.75935,0.44977
317,1.76315,0.44489
318,1.76679,0.44001
319,1.77009,0.43514
320,1.77321,0.43029
321,1.77615,0.42546
322,1.77878,0.4207
323,1.78126,0.41597
324,1.78353,0.41131
325,1.78557,0.40673
326,1.78747,0.4022
327,1.78915,0.39779
328,1.79066,0.39346
329,1.79206,0.3892
330,1.79321,0.38511
331,1.79426,0.3811
332,1.79519,0.37719
333,1.79594,0.37346
334,1.79662,0.36981
335,1.79715,0.36632
336,1.79759,0.36298
337,1.79795,0.35973
338,1.7982,0.3567
339,1.79839,0.35379
340,1.79853,0.351
341,1.79859,0.34844
342,1.79862,0.34598
343,1.79862,0.3437
344,1.79859,0.34161
345,1.79856,0.33962
346,1.79852,0.33785
347,1.7985,0.33624
348,1.79849,0.33473
349,1.79854,0.33349
350,1.79863,0.33234
351,1.79877,0.33135
352,1.79901,0.33057
353,1.79931,0.32988
354,1.79973,0.32938
355,1.80028,0.32903
356,1.8009,0.32877
357,1.80174,0.3287
358,1.80271,0.32873
359,1.80381,0.32885
360,1.80519,0.32912
361,1.80671,0.32944
362,1.80846,0.32985
363,1.81048,0.33033
364,1.81267,0.33083
365,1.81521,0.33137
366,1.818,0.33189
367,1.82099,0.33241
368,1.82443,0.33284
369,1.82808,0.33321
370,1.83203,0.33347
371,1.83637,0.33353
372,1.84092,0.33347
373,1.84585,0.33314
374,1.85108,0.33252
375,1.85649,0.33172
376,1.86231,0.33038
377,1.86828,0.32875
378,1.87445,0.32675
379,1.88083,0.32411
380,1.88728,0.32113
381,1.89383,0.31755
382,1.90037,0.31336
383,1.90688,0.3088
384,1.91324,0.30342
385,1.91942,0.29757
386,1.92543,0.29128
387,1.93095,0.28419
388,1.93621,0.27679
389,1.94101,0.26888
390,1.9452,0.26049
391,1.94903,0.25186
392,1.95208,0.24284
393,1.95457,0.23364
394,1.95664,0.22431
395,1.9577,0.21485
396,1.95836,0.20542
397,1.95842,0.19602
398,1.95772,0.18678
399,1.95664,0.17767
400,1.95491,0.16882
401,1.9527,0.16026
402,1.95018,0.15189
403,1.94705,0.14401
404,1.94367,0.13642
405,1.94002,0.12912
406,1.936,0.12237
407,1.93184,0.11586
408,1.92745,0.10979
409,1.92292,0.10414
410,1.9183,0.09874
411,1.91357,0.09384
412,1.9088,0.08924
413,1.904,0.08489
414,1.89919,0.08103
415,1.89439,0.07736
416,1.88962,0.07399
417,1.8849,0.07096
418,1.88023,0.0681
419,1.87564,0.06555
420,1.87112,0.06322
421,1.86666,0.06103
422,1.86234,0.05916
423,1.85808,0.05741
424,1.85391,0.05583
425,1.84988,0.05445
426,1.84592,0.05318
427,1.84208,0.05207
428,1.83836,0.0511
429,1.8347,0.05021
430,1.83121,0.04949
431,1.82779,0.04884
432,1.82447,0.04827
433,1.8213,0.04783
434,1.8182,0.04745
435,1.81522,0.04715
436,1.81237,0.04692
