Wavelength (nm),MAPbI3_n,MAPbI3_k
300,1.49,0.81
301,1.49,0.82
302,1.48,0.82
303,1.48,0.83
304,1.48,0.84
305,1.47,0.85
306,1.47,0.85
307,1.47,0.86
308,1.47,0.87
309,1.46,0.87
310,1.46,0.88
311,1.46,0.89
312,1.46,0.90
313,1.46,0.91
314,1.46,0.92
315,1.46,0.93
316,1.47,0.94
317,1.47,0.95
318,1.47,0.96
319,1.48,0.97
320,1.48,0.98
321,1.49,0.99
322,1.49,0.99
323,1.50,1.00
324,1.50,1.01
325,1.51,1.02
326,1.51,1.03
327,1.52,1.04
328,1.53,1.05
329,1.54,1.05
330,1.54,1.06
331,1.55,1.07
332,1.56,1.08
333,1.57,1.09
334,1.59,1.09
335,1.60,1.10
336,1.61,1.11
337,1.62,1.11
338,1.63,1.12
339,1.65,1.12
340,1.66,1.13
341,1.67,1.13
342,1.68,1.14
343,1.68,1.14
344,1.69,1.15
345,1.70,1.15
346,1.71,1.15
347,1.72,1.15
348,1.73,1.16
349,1.75,1.16
350,1.76,1.16
351,1.77,1.16
352,1.78,1.16
353,1.80,1.16
354,1.81,1.16
355,1.82,1.16
356,1.83,1.16
357,1.85,1.16
358,1.86,1.16
359,1.87,1.16
360,1.88,1.16
361,1.89,1.16
362,1.90,1.15
363,1.92,1.15
364,1.93,1.15
365,1.93,1.14
366,1.94,1.14
367,1.95,1.14
368,1.96,1.13
369,1.97,1.13
370,1.98,1.12
371,1.99,1.12
372,2.00,1.11
373,2.01,1.11
374,2.02,1.10
375,2.03,1.09
376,2.04,1.09
377,2.04,1.08
378,2.05,1.08
379,2.06,1.07
380,2.06,1.07
381,2.07,1.06
382,2.08,1.06
383,2.08,1.05
384,2.09,1.04
385,2.09,1.04
386,2.10,1.03
387,2.10,1.02
388,2.10,1.02
389,2.11,1.01
390,2.12,1.00
391,2.12,1.00
392,2.13,0.99
393,2.13,0.98
394,2.14,0.98
395,2.14,0.97
396,2.14,0.97
397,2.14,0.96
398,2.15,0.96
399,2.15,0.95
400,2.15,0.95
401,2.16,0.95
402,2.16,0.94
403,2.16,0.94
404,2.16,0.93
405,2.16,0.93
406,2.17,0.92
407,2.17,0.92
408,2.17,0.92
409,2.17,0.91
410,2.17,0.91
411,2.17,0.91
412,2.17,0.90
413,2.17,0.90
414,2.18,0.89
415,2.18,0.89
416,2.18,0.89
417,2.18,0.89
418,2.18,0.88
419,2.18,0.88
420,2.18,0.88
421,2.18,0.87
422,2.18,0.87
423,2.18,0.87
424,2.18,0.87
425,2.18,0.86
426,2.18,0.86
427,2.18,0.86
428,2.18,0.86
429,2.18,0.86
430,2.18,0.85
431,2.19,0.85
432,2.19,0.85
433,2.19,0.85
434,2.19,0.85
435,2.19,0.85
436,2.19,0.85
437,2.19,0.85
438,2.19,0.85
439,2.19,0.84
440,2.19,0.84
441,2.20,0.84
442,2.20,0.84
443,2.20,0.84
444,2.20,0.84
445,2.20,0.84
446,2.20,0.84
447,2.20,0.84
448,2.21,0.84
449,2.21,0.84
450,2.21,0.84
451,2.21,0.84
452,2.21,0.84
453,2.22,0.84
454,2.22,0.84
455,2.22,0.84
456,2.22,0.84
457,2.23,0.84
458,2.23,0.84
459,2.23,0.84
460,2.23,0.84
461,2.24,0.84
462,2.24,0.84
463,2.24,0.84
464,2.24,0.84
465,2.25,0.84
466,2.25,0.84
467,2.25,0.84
468,2.26,0.84
469,2.26,0.84
470,2.26,0.84
471,2.26,0.84
472,2.27,0.84
473,2.27,0.84
474,2.27,0.84
475,2.28,0.84
476,2.28,0.84
477,2.29,0.84
478,2.29,0.84
479,2.30,0.83
480,2.30,0.83
481,2.31,0.83
482,2.31,0.83
483,2.31,0.83
484,2.32,0.83
485,2.32,0.83
486,2.33,0.83
487,2.33,0.82
488,2.33,0.82
489,2.34,0.82
490,2.34,0.82
491,2.34,0.82
492,2.35,0.81
493,2.35,0.81
494,2.35,0.81
495,2.36,0.81
496,2.36,0.80
497,2.37,0.80
498,2.37,0.80
499,2.37,0.80
500,2.38,0.79
501,2.38,0.79
502,2.39,0.79
503,2.39,0.78
504,2.39,0.78
505,2.40,0.78
506,2.40,0.78
507,2.41,0.77
508,2.41,0.77
509,2.41,0.77
510,2.42,0.76
511,2.42,0.76
512,2.42,0.76
513,2.43,0.75
514,2.43,0.75
515,2.43,0.75
516,2.44,0.75
517,2.44,0.74
518,2.44,0.74
519,2.44,0.74
520,2.45,0.73
521,2.45,0.73
522,2.45,0.72
523,2.46,0.72
524,2.46,0.72
525,2.46,0.71
526,2.46,0.71
527,2.47,0.71
528,2.47,0.70
529,2.47,0.70
530,2.47,0.70
531,2.47,0.69
532,2.48,0.69
533,2.48,0.69
534,2.48,0.68
535,2.48,0.68
536,2.49,0.68
537,2.49,0.67
538,2.49,0.67
539,2.49,0.66
540,2.49,0.66
541,2.49,0.66
542,2.49,0.66
543,2.49,0.65
544,2.50,0.65
545,2.50,0.65
546,2.50,0.65
547,2.50,0.64
548,2.50,0.64
549,2.50,0.64
550,2.50,0.63
551,2.51,0.63
552,2.51,0.62
553,2.51,0.62
554,2.51,0.62
555,2.51,0.61
556,2.51,0.61
557,2.51,0.60
558,2.51,0.60
559,2.51,0.60
560,2.51,0.59
561,2.51,0.59
562,2.51,0.59
563,2.51,0.58
564,2.51,0.58
565,2.51,0.58
566,2.51,0.57
567,2.51,0.57
568,2.51,0.57
569,2.51,0.56
570,2.51,0.56
571,2.51,0.56
572,2.51,0.55
573,2.51,0.55
574,2.51,0.55
575,2.51,0.54
576,2.51,0.54
577,2.51,0.54
578,2.51,0.53
579,2.52,0.53
580,2.52,0.53
581,2.52,0.53
582,2.52,0.52
583,2.52,0.52
584,2.52,0.52
585,2.51,0.52
586,2.51,0.52
587,2.51,0.51
588,2.51,0.51
589,2.51,0.51
590,2.51,0.51
591,2.51,0.50
592,2.51,0.50
593,2.51,0.50
594,2.51,0.49
595,2.51,0.49
596,2.51,0.49
597,2.51,0.49
598,2.51,0.48
599,2.51,0.48
600,2.51,0.48
601,2.51,0.48
602,2.51,0.47
603,2.51,0.47
604,2.51,0.47
605,2.51,0.47
606,2.51,0.46
607,2.51,0.46
608,2.51,0.46
609,2.51,0.46
610,2.51,0.46
611,2.51,0.45
612,2.51,0.45
613,2.51,0.45
614,2.51,0.45
615,2.51,0.45
616,2.51,0.45
617,2.50,0.44
618,2.50,0.44
619,2.50,0.44
620,2.50,0.44
621,2.50,0.44
622,2.50,0.44
623,2.50,0.43
624,2.50,0.43
625,2.50,0.43
626,2.50,0.43
627,2.50,0.43
628,2.50,0.43
629,2.50,0.43
630,2.50,0.43
631,2.50,0.43
632,2.50,0.42
633,2.50,0.42
634,2.50,0.42
635,2.50,0.42
636,2.50,0.42
637,2.50,0.42
638,2.50,0.42
639,2.49,0.41
640,2.49,0.41
641,2.49,0.41
642,2.49,0.41
643,2.49,0.41
644,2.49,0.41
645,2.49,0.40
646,2.49,0.40
647,2.49,0.40
648,2.49,0.40
649,2.49,0.40
650,2.49,0.40
651,2.49,0.40
652,2.49,0.39
653,2.49,0.39
654,2.49,0.39
655,2.49,0.39
656,2.49,0.39
657,2.49,0.39
658,2.49,0.39
659,2.49,0.39
660,2.49,0.39
661,2.49,0.38
662,2.49,0.38
663,2.49,0.38
664,2.49,0.38
665,2.49,0.38
666,2.49,0.38
667,2.49,0.38
668,2.49,0.38
669,2.49,0.38
670,2.49,0.38
671,2.49,0.38
672,2.49,0.37
673,2.49,0.37
674,2.49,0.37
675,2.48,0.37
676,2.48,0.37
677,2.48,0.37
678,2.48,0.37
679,2.48,0.37
680,2.48,0.37
681,2.48,0.37
682,2.48,0.37
683,2.48,0.37
684,2.48,0.36
685,2.48,0.36
686,2.48,0.36
687,2.48,0.36
688,2.48,0.36
689,2.48,0.36
690,2.48,0.36
691,2.48,0.36
692,2.48,0.36
693,2.48,0.36
694,2.48,0.36
695,2.48,0.36
696,2.48,0.36
697,2.48,0.36
698,2.48,0.36
699,2.48,0.36
700,2.48,0.35
701,2.48,0.35
702,2.48,0.35
703,2.48,0.35
704,2.48,0.35
705,2.48,0.35
706,2.49,0.35
707,2.49,0.35
708,2.49,0.35
709,2.49,0.35
710,2.49,0.35
711,2.49,0.35
712,2.49,0.35
713,2.49,0.35
714,2.49,0.35
715,2.49,0.35
716,2.49,0.35
717,2.49,0.35
718,2.49,0.35
719,2.49,0.35
720,2.49,0.35
721,2.50,0.35
722,2.50,0.35
723,2.50,0.35
724,2.50,0.35
725,2.50,0.35
726,2.50,0.35
727,2.50,0.35
728,2.50,0.34
729,2.50,0.34
730,2.50,0.34
731,2.50,0.34
732,2.51,0.34
733,2.51,0.34
734,2.51,0.34
735,2.51,0.34
736,2.51,0.34
737,2.51,0.34
738,2.51,0.34
739,2.51,0.34
740,2.52,0.34
741,2.52,0.33
742,2.52,0.33
743,2.52,0.33
744,2.53,0.33
745,2.53,0.33
746,2.53,0.33
747,2.53,0.33
748,2.54,0.32
749,2.54,0.32
750,2.54,0.32
751,2.54,0.32
752,2.55,0.32
753,2.55,0.32
754,2.55,0.31
755,2.55,0.31
756,2.55,0.31
757,2.56,0.31
758,2.56,0.30
759,2.56,0.30
760,2.56,0.30
761,2.57,0.29
762,2.57,0.29
763,2.57,0.28
764,2.57,0.28
765,2.58,0.27
766,2.58,0.26
767,2.58,0.26
768,2.58,0.25
769,2.58,0.25
770,2.58,0.24
771,2.58,0.24
772,2.58,0.23
773,2.57,0.23
774,2.57,0.22
775,2.57,0.22
776,2.57,0.21
777,2.56,0.21
778,2.56,0.20
779,2.56,0.20
780,2.56,0.20
781,2.55,0.19
782,2.55,0.19
783,2.55,0.19
784,2.54,0.18
785,2.54,0.18
786,2.54,0.18
787,2.53,0.17
788,2.53,0.17
789,2.53,0.17
790,2.52,0.17
791,2.52,0.17
792,2.52,0.17
793,2.51,0.17
794,2.51,0.17
795,2.51,0.17
796,2.51,0.17
797,2.50,0.17
798,2.50,0.17
799,2.50,0.16
800,2.50,0.16
801,2.50,0.16
802,2.50,0.16
803,2.49,0.16
804,2.49,0.16
805,2.49,0.16
806,2.49,0.16
807,2.49,0.16
808,2.49,0.16
809,2.49,0.16
810,2.49,0.16
811,2.48,0.16
812,2.48,0.16
813,2.48,0.16
814,2.48,0.16
815,2.48,0.16
816,2.48,0.16
817,2.47,0.16
818,2.47,0.16
819,2.47,0.16
820,2.47,0.16
821,2.47,0.16
822,2.47,0.16
823,2.47,0.16
824,2.47,0.16
825,2.47,0.16
826,2.47,0.16
827,2.46,0.16
828,2.46,0.15
829,2.46,0.15
830,2.46,0.15
831,2.46,0.15
832,2.46,0.15
833,2.46,0.15
834,2.46,0.15
835,2.46,0.15
836,2.46,0.15
837,2.46,0.15
838,2.46,0.15
839,2.46,0.15
840,2.45,0.15
841,2.45,0.15
842,2.45,0.15
843,2.45,0.15
844,2.45,0.15
845,2.45,0.15
846,2.45,0.15
847,2.45,0.15
848,2.45,0.15
849,2.45,0.15
850,2.45,0.15
851,2.45,0.15
852,2.44,0.14
853,2.44,0.14
854,2.44,0.14
855,2.44,0.14
856,2.44,0.14
857,2.44,0.14
858,2.44,0.14
859,2.44,0.14
860,2.44,0.14
861,2.44,0.14
862,2.44,0.14
863,2.44,0.14
864,2.44,0.14
865,2.44,0.14
866,2.43,0.14
867,2.43,0.14
868,2.43,0.14
869,2.43,0.14
870,2.43,0.14
871,2.43,0.14
872,2.43,0.14
873,2.43,0.14
874,2.43,0.14
875,2.43,0.14
876,2.43,0.14
877,2.43,0.14
878,2.43,0.14
879,2.43,0.14
880,2.43,0.14
881,2.43,0.14
882,2.43,0.14
883,2.43,0.14
884,2.43,0.14
885,2.43,0.14
886,2.43,0.14
887,2.43,0.14
888,2.43,0.14
889,2.43,0.14
890,2.42,0.14
891,2.42,0.14
892,2.42,0.14
893,2.42,0.14
894,2.42,0.14
895,2.42,0.14
896,2.42,0.14
897,2.42,0.14
898,2.42,0.14
899,2.42,0.14
900,2.42,0.14
