Wavelength (nm),MAPbI3_GQ_n,MAPbI3_GQ_k
300,1.04,0.75
301,1.05,0.76
302,1.05,0.77
303,1.05,0.78
304,1.05,0.79
305,1.06,0.8
306,1.06,0.81
307,1.07,0.82
308,1.07,0.83
309,1.07,0.84
310,1.08,0.85
311,1.08,0.86
312,1.09,0.87
313,1.09,0.88
314,1.1,0.89
315,1.11,0.9
316,1.11,0.91
317,1.12,0.92
318,1.12,0.93
319,1.13,0.94
320,1.13,0.95
321,1.14,0.96
322,1.15,0.97
323,1.15,0.98
324,1.16,0.99
325,1.16,1
326,1.17,1.01
327,1.18,1.02
328,1.19,1.03
329,1.19,1.04
330,1.2,1.05
331,1.21,1.06
332,1.21,1.06
333,1.22,1.07
334,1.23,1.08
335,1.24,1.09
336,1.25,1.1
337,1.26,1.11
338,1.27,1.12
339,1.28,1.13
340,1.29,1.13
341,1.3,1.14
342,1.31,1.15
343,1.32,1.16
344,1.33,1.17
345,1.34,1.17
346,1.35,1.18
347,1.36,1.19
348,1.37,1.19
349,1.39,1.2
350,1.4,1.21
351,1.42,1.21
352,1.43,1.22
353,1.44,1.22
354,1.45,1.23
355,1.46,1.23
356,1.48,1.24
357,1.49,1.24
358,1.51,1.25
359,1.52,1.25
360,1.53,1.25
361,1.54,1.26
362,1.56,1.26
363,1.57,1.26
364,1.59,1.27
365,1.6,1.27
366,1.61,1.27
367,1.63,1.27
368,1.64,1.27
369,1.65,1.27
370,1.66,1.28
371,1.68,1.28
372,1.7,1.28
373,1.71,1.28
374,1.72,1.28
375,1.74,1.27
376,1.75,1.27
377,1.76,1.27
378,1.78,1.27
379,1.79,1.27
380,1.8,1.27
381,1.82,1.27
382,1.83,1.26
383,1.84,1.26
384,1.85,1.26
385,1.87,1.25
386,1.88,1.25
387,1.89,1.25
388,1.91,1.24
389,1.92,1.24
390,1.93,1.23
391,1.94,1.23
392,1.95,1.22
393,1.97,1.22
394,1.98,1.21
395,1.99,1.21
396,2,1.2
397,2.01,1.2
398,2.02,1.19
399,2.02,1.18
400,2.04,1.18
401,2.05,1.17
402,2.06,1.17
403,2.07,1.16
404,2.08,1.15
405,2.09,1.15
406,2.09,1.14
407,2.11,1.13
408,2.11,1.12
409,2.12,1.12
410,2.12,1.11
411,2.13,1.1
412,2.14,1.09
413,2.14,1.09
414,2.15,1.08
415,2.16,1.07
416,2.17,1.06
417,2.17,1.06
418,2.18,1.05
419,2.19,1.04
420,2.19,1.04
421,2.19,1.03
422,2.19,1.02
423,2.2,1.01
424,2.2,1.01
425,2.21,1
426,2.22,0.99
427,2.22,0.99
428,2.22,0.98
429,2.22,0.97
430,2.23,0.97
431,2.23,0.96
432,2.23,0.96
433,2.24,0.95
434,2.24,0.95
435,2.24,0.94
436,2.24,0.93
437,2.24,0.93
438,2.24,0.93
439,2.25,0.92
440,2.25,0.92
441,2.25,0.91
442,2.25,0.91
443,2.25,0.9
444,2.26,0.9
445,2.26,0.9
446,2.26,0.89
447,2.26,0.89
448,2.26,0.89
449,2.27,0.89
450,2.27,0.88
451,2.27,0.88
452,2.27,0.88
453,2.27,0.88
454,2.27,0.88
455,2.28,0.87
456,2.28,0.87
457,2.28,0.87
458,2.29,0.87
459,2.29,0.87
460,2.29,0.87
461,2.29,0.87
462,2.3,0.87
463,2.3,0.86
464,2.3,0.86
465,2.31,0.86
466,2.31,0.86
467,2.32,0.86
468,2.32,0.86
469,2.32,0.86
470,2.33,0.86
471,2.33,0.86
472,2.34,0.86
473,2.34,0.86
474,2.35,0.85
475,2.35,0.85
476,2.36,0.85
477,2.37,0.85
478,2.37,0.85
479,2.38,0.85
480,2.38,0.85
