Wavelength (nm),NiOx_n,NiOx_k
300,2.01125,0.27909
301,2.01359,0.27811
302,2.01592,0.27713
303,2.01826,0.27615
304,2.02059,0.27517
305,2.02293,0.27419
306,2.02526,0.27321
307,2.02759,0.27223
308,2.02993,0.27125
309,2.03214,0.27027
310,2.0343,0.26929
311,2.03645,0.26837
312,2.0386,0.26761
313,2.04075,0.26685
314,2.0429,0.26609
315,2.04506,0.26533
316,2.04721,0.26457
317,2.04936,0.26381
318,2.05182,0.26305
319,2.05434,0.26229
320,2.05687,0.26153
321,2.05939,0.26057
322,2.06191,0.25942
323,2.06444,0.25826
324,2.06696,0.2571
325,2.0695,0.25594
326,2.0721,0.25479
327,2.07469,0.25363
328,2.07728,0.25247
329,2.07987,0.25131
330,2.08247,0.25016
331,2.08506,0.24868
332,2.08765,0.24707
333,2.08995,0.24547
334,2.09208,0.24386
335,2.09422,0.24226
336,2.09636,0.24065
337,2.0985,0.23904
338,2.10064,0.23744
339,2.10278,0.23583
340,2.10491,0.23423
341,2.10681,0.23258
342,2.1084,0.23087
343,2.10999,0.22916
344,2.11159,0.22746
345,2.11318,0.22575
346,2.11477,0.22404
347,2.11637,0.22234
348,2.11796,0.22063
349,2.11984,0.21892
350,2.12261,0.21726
351,2.12538,0.21571
352,2.12815,0.21417
353,2.13092,0.21263
354,2.13369,0.21109
355,2.13646,0.20955
356,2.13923,0.20801
357,2.14164,0.20647
358,2.14387,0.20492
359,2.14609,0.20338
360,2.14832,0.2019
361,2.15054,0.20066
362,2.15277,0.19941
363,2.15499,0.19817
364,2.15721,0.19693
365,2.15944,0.19568
366,2.16168,0.19444
367,2.16393,0.19319
368,2.16618,0.19195
369,2.16843,0.1907
370,2.17068,0.1895
371,2.17293,0.18844
372,2.17518,0.18739
373,2.1767,0.18633
374,2.17812,0.18528
375,2.17954,0.18422
376,2.18095,0.18317
377,2.18237,0.18211
378,2.18378,0.18105
379,2.1852,0.18
380,2.18661,0.17905
381,2.18768,0.17823
382,2.18856,0.17742
383,2.18945,0.1766
384,2.19033,0.17578
385,2.19122,0.17497
386,2.19211,0.17415
387,2.19299,0.17333
388,2.19388,0.17252
389,2.19434,0.1717
390,2.1945,0.17089
391,2.19466,0.17009
392,2.19483,0.16929
393,2.19499,0.1685
394,2.19515,0.1677
395,2.19532,0.1669
396,2.19548,0.16611
397,2.19564,0.16531
398,2.19581,0.16451
399,2.19581,0.16372
400,2.19576,0.16294
401,2.19572,0.16233
402,2.19567,0.16172
403,2.19563,0.16111
404,2.19558,0.1605
405,2.19554,0.15989
406,2.19549,0.15928
407,2.19469,0.15867
408,2.19367,0.15806
409,2.19264,0.15744
410,2.19161,0.15684
411,2.19058,0.15626
412,2.18955,0.15568
413,2.18852,0.1551
414,2.18705,0.15453
415,2.18548,0.15395
416,2.18391,0.15337
417,2.18235,0.1528
418,2.18078,0.15222
419,2.17921,0.15164
420,2.17765,0.15106
421,2.17594,0.15037
422,2.17377,0.14963
423,2.1716,0.1489
424,2.16944,0.14816
425,2.16727,0.14743
426,2.1651,0.14669
427,2.16293,0.14595
428,2.16077,0.14522
429,2.1586,0.14448
430,2.15643,0.14378
431,2.15425,0.1431
432,2.15208,0.14243
433,2.14991,0.14176
434,2.14774,0.14108
435,2.14557,0.14041
436,2.1434,0.13973
437,2.14123,0.13906
438,2.1386,0.13839
439,2.13596,0.13771
440,2.13331,0.13706
441,2.13067,0.13651
442,2.12802,0.13596
443,2.12538,0.13541
444,2.12274,0.13486
445,2.12019,0.13431
446,2.11794,0.13375
447,2.11569,0.1332
448,2.11344,0.13265
449,2.11119,0.1321
450,2.10894,0.13139
451,2.1067,0.13066
452,2.10445,0.12993
