Wavelength (nm),PTB7_PCBM_n,PTB7_PCBM_k
300,1.97466,0.47494
301,1.97301,0.46769
302,1.97136,0.46045
303,1.96971,0.4532
304,1.96806,0.44596
305,1.96698,0.43871
306,1.96573,0.43146
307,1.9644,0.42394
308,1.963,0.41634
309,1.96153,0.40909
310,1.96,0.40219
311,1.95839,0.39563
312,1.95671,0.38939
313,1.95496,0.38346
314,1.95313,0.37784
315,1.95123,0.37251
316,1.94926,0.36746
317,1.94722,0.36269
318,1.9451,0.35817
319,1.94291,0.35391
320,1.94064,0.34989
321,1.93829,0.3461
322,1.93587,0.34252
323,1.93338,0.33916
324,1.9308,0.336
325,1.92815,0.33302
326,1.92542,0.33022
327,1.92262,0.32759
328,1.91973,0.32512
329,1.91677,0.3228
330,1.91372,0.32061
331,1.9106,0.31854
332,1.90739,0.3166
333,1.90411,0.31475
334,1.90074,0.313
335,1.89729,0.31134
336,1.89376,0.30975
337,1.89016,0.30822
338,1.88651,0.30675
339,1.88281,0.30532
340,1.87909,0.30392
341,1.87535,0.30254
342,1.87161,0.30117
343,1.86789,0.2998
344,1.86419,0.29843
345,1.86053,0.29703
346,1.85692,0.2956
347,1.85339,0.29415
348,1.84993,0.29275
349,1.84656,0.29151
350,1.84331,0.29056
351,1.84018,0.28999
352,1.83718,0.28993
353,1.83433,0.29048
354,1.83164,0.29175
355,1.82913,0.29385
356,1.82681,0.2969
357,1.82469,0.30084
358,1.82279,0.30487
359,1.82112,0.30803
360,1.81969,0.30938
361,1.8185,0.30892
362,1.81753,0.30747
363,1.81677,0.30586
364,1.81623,0.30496
365,1.81589,0.3053
366,1.81573,0.30669
367,1.81576,0.30888
368,1.81596,0.3116
369,1.81632,0.31457
370,1.81684,0.31752
371,1.81751,0.32019
372,1.81831,0.32246
373,1.81923,0.32436
374,1.82028,0.32591
375,1.82144,0.32716
376,1.8227,0.32815
377,1.82405,0.3289
378,1.82548,0.32946
379,1.82699,0.32985
380,1.82856,0.33012
381,1.83019,0.3303
382,1.83186,0.33043
383,1.83358,0.33051
384,1.83532,0.33053
385,1.83708,0.33043
386,1.83886,0.33021
387,1.84063,0.32981
388,1.8424,0.32922
389,1.84416,0.3284
390,1.84589,0.32732
391,1.84759,0.32594
392,1.84925,0.32424
393,1.85085,0.32219
394,1.85239,0.31975
395,1.85382,0.31711
396,1.85509,0.31477
397,1.85615,0.31306
398,1.85696,0.31179
399,1.85747,0.31074
400,1.85762,0.30968
401,1.85739,0.3084
402,1.85681,0.3067
403,1.85593,0.30464
404,1.85482,0.30242
405,1.85351,0.30023
406,1.85207,0.29827
407,1.85055,0.29672
408,1.84901,0.29566
409,1.84749,0.29503
410,1.84605,0.29474
411,1.84474,0.29473
412,1.8436,0.29491
413,1.84264,0.2952
414,1.84184,0.29554
415,1.84117,0.29585
416,1.84064,0.29604
417,1.84022,0.29604
418,1.83989,0.29578
419,1.83965,0.29518
420,1.83947,0.29416
421,1.83935,0.29264
422,1.83926,0.29068
423,1.8392,0.28867
424,1.83915,0.28703
425,1.83909,0.28608
426,1.83901,0.28574
427,1.83889,0.28579
428,1.83872,0.28602
429,1.83849,0.28621
430,1.83818,0.28615
431,1.83777,0.28579
432,1.83725,0.28521
433,1.8366,0.28454
